x,y
MEXI025RA,0.744
MEXI028RA,0.741
MEXI031RA,0.245
MEXI032RA,0.583
AZ506RA,0.218
AZ511RA,0.854
AZ512RA,0.811
AZ549RA,0.854
AZ556RA,0.729
AZ557RA,0.656
AZ559RA,0.806
AZ560RA,0.816
AZ561RA,0.604
AZ562RA,0.496
CA637RA,1.02
CO511RA,0.91
CO555RA,1.035
CO556RA,0.884
CO557RA,0.734
CO558RA,0.229
CO559RA,0.783
CO560RA,0.753
CO564RA,0.469
CO565RA,0.396
CO566RA,0.095
CO567RA,0.293
CO568RA,0.829
CO569RA,0.955
CO570RA,0.288
CO571RA,0.451
CO572RA,1.097
CO579RA,0.524
CO580RA,0.745
CO581RA,0.635
CO582RA,0.64
CO583RA,0.302
CO584RA,0.228
CO585RA,0.641
CO588RA,0.703
CO589RA,0.395
CO590RA,0.941
CO591RA,0.681
CO592RA,0.87
CO593RA,0.499
CO594RA,0.145
CO595RA,0.733
CO596RA,1.175
CO597RA,1.147
CO598RA,0.795
CO599RA,0.626
CO600RA,0.679
CO601RA,0.807
CO602RA,0.617
CO603RA,0.879
CO604RA,0.775
CO605RA,0.899
CO606RA,0.619
CO607RA,0.806
CO608RA,0.794
CO609RA,0.729
CO610RA,0.74
CO611RA,0.793
CO612RA,0.733
CO613RA,0.662
CO614RA,0.593
CO615RA,0.849
CO616RA,0.31
CO617RA,0.859
CO618RA,0.971
CO619RA,0.873
CO620RA,0.43
CO621RA,0.613
CO622RA,0.804
CO623RA,0.406
CO624RA,0.161
CO625RA,0.78
CO626RA,0.837
CO627RA,0.35
CO628RA,0.575
CO629RA,0.288
CO630RA,0.776
CO631RA,0.809
CO632RA,0.899
CO633RA,0.921
CO634RA,1.055
CO635RA,0.849
CO636RA,0.709
CO637RA,0.433
CO638RA,0.6
CO639RA,0.347
CO640RA,0.246
CO641RA,0.964
ID006RA,0.944
ID009RA,0.619
ID010RA,0.759
ID011RA,0.67
ID012RA,0.831
ID015RA,0.851
NE005RA,0.593
NE007RA,0.637
NE008RA,0.262
NM547RA,0.326
NM553RA,0.77
NM560RA,0.649
NM561RA,0.342
NM562RA,0.565
NM573RA,0.532
NM574RA,0.402
NM575RA,0.629
NM576RA,0.552
NM577RA,0.812
NM578RA,0.204
NM579RA,0.464
NM580RA,0.452
NM581RA,0.654
NM582RA,0.577
TX042RA,0.433
TX046RA,0.291
WY032RA,0.566
WY037RA,0.545
