SERIES,NAME,SPECIES
MEXI025RA,CREEL INTERNATIONAL AIRPORT,PSME
MEXI028RA,EL TABACOTE AND TOMOCHIC,PSME
MEXI031RA,LAS TINAJAS,PSME
MEXI032RA,MESA DE CAMPANERO,ABSP
AZ506RA,CHERRY CANYON            - ARSTAN,PICM
AZ511RA,"MOUNT GRAHAM, PINALENO MOUNTAINS",PCEN
AZ512RA,"EMERALD PEAK, PINALENO MOUNTAINS",ABLA
AZ549RA,"PETER'S FLAT, PINALENO MOUNTAINS",PSME
AZ556RA,"SCHEELITE CANYON, HUACHUCA MTS",PSME
AZ557RA,REEF OF ROCKS,PSME
AZ559RA,WEBB PEAK 2001,PSME
AZ560RA,"BASIN AREA, NORTH RIM, GRAND CANYON NP",PIPO
AZ561RA,"UPPER WALHALLA PLATEAU, NORTH RIM, GRAND CANYON NP",PIPO
AZ562RA,"LOWER WALHALLA PLATEAU, NORTH RIM, GRAND CANYON NP",PIPO
CA637RA,UPPER WRIGHT LAKES,PIBA
CO511RA,ISLAND LAKE     ARSTAN,PIFL
CO555RA,GREAT SAND DUNES LOWER  PIPO+PSME,PIPO
CO556RA,GREAT SAND DUNES HIGH,PIFL
CO557RA,POOL TABLE PINES,PIPO
CO558RA,ROADSITE,PIPO
CO559RA,TERRACE LAKE PINES,PIPO
CO560RA,WILSON RANCH,PIPO
CO564RA,BLACK FOREST EAST,PIPO
CO565RA,RIDGE ROAD,PIPO
CO566RA,VALLEY VIEW RANCH,PSME
CO567RA,ROUND PRARIE,PIED
CO568RA,KIM,PIPO
CO569RA,MESA DE MAYA,PIPO
CO570RA,SHEEP PEN CANYON,PIPO
CO571RA,SHEEP PEN CANYON,PIED
CO572RA,LILY LAKE,PSME
CO579RA,PUMPHOUSE,PIED
CO580RA,LAND'S END,PSME
CO581RA,SEEDHOUSE,PSME
CO582RA,ESCALANTE FORKS UPDATE,PIED
CO583RA,TRAIL GULCH,PIED
CO584RA,RED CANYON,PIED
CO585RA,ENCAMPMENT,PSME
CO588RA,PLATT BRADBURY,PIPO
CO589RA,ALMONT TRIANGLE,PSME
CO590RA,BENNETT CREEK,PIPO
CO591RA,BOULDER RIDGE ROAD,PIPO
CO592RA,BIG THOMPSON UPDATE,PSME
CO593RA,CATHEDRAL CREEK,PSME
CO594RA,COCHETOPA DOME,PIPO
CO595RA,COLLINS GULCH,PIED
CO596RA,CRAGS HOTEL,PIPO
CO597RA,DILLON,PSME
CO598RA,DEER MOUNTAIN UPDATE,PIPO
CO599RA,DOUGLAS PASS,PSME
CO600RA,DRY PARK,PIED
CO601RA,EAGLE ROCK,PIPO
CO602RA,ELEVENMILE RESERVOIR,PIPO
CO603RA,ELDORADO CANYON UPDATE,PSME
CO604RA,GREEN MOUNTAIN RESERVOIR,PSME
CO605RA,GOULD RESERVOIR,PIED
CO606RA,HOT SULPHUR SPRINGS,PSME
CO607RA,JAMESTOWN,PIPO
CO608RA,JEFFERSON COUNTY UPDATE,PIPO
CO609RA,MCGEE GULCH,PSME
CO610RA,MCPHEE (INCLUDES DOLORES),PIED
CO611RA,MEYER RANCH,PIPO
CO612RA,MONTROSE,PIED
CO613RA,NORTH PARK UPDATE,PSME
CO614RA,OWL CANYON UPDATE,PIED
CO615RA,PICEANCE,PIED
CO616RA,PLUG HAT BUTTE,PIED
CO617RA,PRINCETON DOUGLAS-FIR,PSME
CO618RA,PRINCETON PINYON,PIED
CO619RA,PEAK TO PEAK,PSME
CO620RA,RED CREEK,PSME
CO621RA,RIFLE,PIED
CO622RA,RUSTIC,PIPO
CO623RA,SAPINERO MESA,PIPO
CO624RA,SARGENTS,PSME
CO625RA,SOUTH FORK,PIPO
CO626RA,SLICKROCK,PIED
CO627RA,SOAP CREEK,PIPO
CO628RA,STULTZ TRAIL,PSME
CO629RA,UNAWEEP CANYON,PIED
CO630RA,VASQUEZ MOUNTAIN,PSME
CO631RA,WILD ROSE,PIED
CO632RA,WET MOUNTAINS,PSME
CO633RA,CAMERON PASS,PCEN
CO634RA,CAMERON PASS,PICO
CO635RA,CAMERON PASS,ABLA
CO636RA,NATURAL ARCH,PIED
CO637RA,CHOKECHERRY CANYON,PIED
CO638RA,GRAND VIEW RIDGE,PIED
CO639RA,HAPPY MEADOWS,PIPO
CO640RA,TEMPLE CANYON,PIED
CO641RA,VAN BIBBER UPDATE,PIPO
ID006RA,GRASSHOPPER TRAIL   ARSTAN,JUOC
ID009RA,TWIN PEAKS,PIAL
ID010RA,SANDPASS,PIAL
ID011RA,UPPER SANDPASS,PIAL
ID012RA,RAILROAD RIDGE,PIAL
ID015RA,EAST SIDE TRAIL,PIPO
NE005RA,SNAKE RIVER,PIPO
NE007RA,CANYON ROAD,PIPO
NE008RA,ASH CANYON,PIPO
NM547RA,"SALINAS PEAK, SAN ANDRES MOUNTAINS",PIED
NM553RA,SPRING CANYON,PIPO
NM560RA,ITALIAN CANYON,PIFL
NM561RA,ELK CANYON,PIPO
NM562RA,HOOSIER CANYON,PIPO
NM573RA,"WEST SIDE ROAD, SACRAMENTO MOUNTAINS",PIPO
NM574RA,CORNAY RANCH,PIPO
NM575RA,CAPULIN VOLCANO,PIPO
NM576RA,CAPULIN VOLCANO,PIED
NM577RA,MILL CANYON,PIPO
NM578RA,CAPULIN VOLCANO NATIONAL MONUMENT,PIED
NM579RA,SUNSPOT,PSME
NM580RA,EL MALPAIS UPDATE,PSME
NM581RA,LAS TABLAS,PIED
NM582RA,TRES PIEDRAS,PIPO
TX042RA,BIG BEND NATIONAL PARK INCL. CAMP SPRINGS,PSME
TX046RA,GUADALUPE PEAK,PSME
WY032RA,VEDAUWOO,PIPO
WY037RA,RED HILLS,PIFL
